layer,train_acc,test_acc,n_train,n_test
0,0.365625,0.34125,9600,2400
1,0.84375,0.38458333333333333,9600,2400
2,0.958125,0.4354166666666667,9600,2400
3,0.9978125,0.4995833333333333,9600,2400
4,0.9998958333333333,0.555,9600,2400
5,0.9998958333333333,0.6154166666666666,9600,2400
6,0.9998958333333333,0.6525,9600,2400
7,0.9998958333333333,0.7191666666666666,9600,2400
8,0.9998958333333333,0.7570833333333333,9600,2400
9,0.9998958333333333,0.7766666666666666,9600,2400
10,0.9998958333333333,0.7995833333333333,9600,2400
11,0.9998958333333333,0.8029166666666666,9600,2400
12,0.9998958333333333,0.8054166666666667,9600,2400
13,0.9998958333333333,0.8220833333333334,9600,2400
14,0.9998958333333333,0.815,9600,2400
15,0.9998958333333333,0.8095833333333333,9600,2400
16,0.9998958333333333,0.7975,9600,2400
17,0.9998958333333333,0.79875,9600,2400
18,0.9998958333333333,0.77625,9600,2400
19,0.9998958333333333,0.7608333333333334,9600,2400
20,0.9998958333333333,0.74875,9600,2400
21,0.9998958333333333,0.7504166666666666,9600,2400
22,0.9998958333333333,0.7375,9600,2400
23,0.9998958333333333,0.72375,9600,2400
24,0.9998958333333333,0.7225,9600,2400
25,0.9998958333333333,0.7041666666666667,9600,2400
26,0.9998958333333333,0.6929166666666666,9600,2400
27,0.9998958333333333,0.68125,9600,2400
28,0.9998958333333333,0.6695833333333333,9600,2400
29,0.9998958333333333,0.6491666666666667,9600,2400
30,0.9998958333333333,0.63375,9600,2400
31,0.9998958333333333,0.6270833333333333,9600,2400
32,0.9998958333333333,0.6154166666666666,9600,2400
