layer,train_acc,test_acc,n_train,n_test
0,0.5108650229837025,0.47575250836120403,4786,1196
1,1.0,0.9974916387959866,4786,1196
2,1.0,0.9983277591973244,4786,1196
3,1.0,0.9983277591973244,4786,1196
4,1.0,0.9983277591973244,4786,1196
5,1.0,0.9991638795986622,4786,1196
6,1.0,0.9991638795986622,4786,1196
7,1.0,0.9991638795986622,4786,1196
8,1.0,0.9974916387959866,4786,1196
9,1.0,0.9983277591973244,4786,1196
10,1.0,0.9966555183946488,4786,1196
11,1.0,0.9966555183946488,4786,1196
12,1.0,0.9974916387959866,4786,1196
13,1.0,0.9974916387959866,4786,1196
14,1.0,0.9941471571906354,4786,1196
15,1.0,0.9991638795986622,4786,1196
16,1.0,0.9991638795986622,4786,1196
17,1.0,0.9991638795986622,4786,1196
18,1.0,1.0,4786,1196
19,1.0,1.0,4786,1196
20,1.0,1.0,4786,1196
21,1.0,1.0,4786,1196
22,1.0,1.0,4786,1196
23,1.0,1.0,4786,1196
24,1.0,1.0,4786,1196
25,1.0,1.0,4786,1196
26,1.0,1.0,4786,1196
27,1.0,1.0,4786,1196
28,1.0,1.0,4786,1196
29,1.0,1.0,4786,1196
30,1.0,1.0,4786,1196
31,1.0,1.0,4786,1196
32,1.0,1.0,4786,1196
