model,layer,layer_norm,hidden_size,participation_ratio,top10_var_frac,top50_var_frac
llama-3.2-3b,0,0.0,3072,2.143690181396639,0.8920988499898254,0.9694013619501712
llama-3.2-3b,1,0.03571428571428571,3072,8.767157061880466,0.6572880255253467,0.8483563713920212
llama-3.2-3b,2,0.07142857142857142,3072,23.771990308155168,0.4656517439261229,0.6924436641773739
llama-3.2-3b,3,0.10714285714285714,3072,30.841137974036076,0.4340195346013775,0.6513176593296011
llama-3.2-3b,4,0.14285714285714285,3072,63.2648555059662,0.3166032724593851,0.5325166401716361
llama-3.2-3b,5,0.17857142857142858,3072,94.83730347440427,0.25872219662288004,0.47650446454481343
llama-3.2-3b,6,0.21428571428571427,3072,100.75572061961148,0.2521391404339571,0.4674606647450347
llama-3.2-3b,7,0.25,3072,133.34483521661625,0.22031034814324554,0.43248745607226546
llama-3.2-3b,8,0.2857142857142857,3072,142.27653464010635,0.20952867318037036,0.4219898192007703
llama-3.2-3b,9,0.32142857142857145,3072,139.18265078708225,0.2103602132189287,0.4069973200360721
llama-3.2-3b,10,0.35714285714285715,3072,139.19413148228548,0.20830118668824132,0.41682429751604727
llama-3.2-3b,11,0.39285714285714285,3072,129.76148175571046,0.2177322820696258,0.4221155814881038
llama-3.2-3b,12,0.42857142857142855,3072,134.4491459463136,0.21329984432316038,0.4375900006729022
llama-3.2-3b,13,0.4642857142857143,3072,123.7176307839164,0.22299936052844685,0.4541551574536052
llama-3.2-3b,14,0.5,3072,117.69819299514712,0.23335188416522895,0.4698640375414699
llama-3.2-3b,15,0.5357142857142857,3072,97.0463970115096,0.26238065857389004,0.5041570042282988
llama-3.2-3b,16,0.5714285714285714,3072,78.61530482222507,0.29690044861484144,0.5421730886251902
llama-3.2-3b,17,0.6071428571428571,3072,63.99910048751554,0.32944615469428823,0.581427353705732
llama-3.2-3b,18,0.6428571428571429,3072,54.75134627812548,0.36006793365370066,0.6078915152735102
llama-3.2-3b,19,0.6785714285714286,3072,49.484701796764256,0.38007525188110786,0.6265884725100284
