model,n_layers_p1,early_NMI_lang,middle_NMI_lang,late_NMI_lang,early_NMI_concept,middle_NMI_concept,late_NMI_concept,concept_NMI_peak_layer,concept_NMI_peak_norm,concept_NMI_peak_value
llama-3.2-3b,29,0.6200258296590748,0.4041163509976039,0.9411591844627603,0.002378347476620631,0.0261490741133182,0.00015957370573571952,9,0.32142857142857145,0.058517308784987135
mistral-7b-v0.3,33,0.7743319821052951,0.5940033484327137,0.9496234556500357,0.0007149973832837879,0.013798721503667295,0.00023872760526695924,12,0.375,0.02792123445593518
qwen2.5-7b,29,0.7664204506615593,0.5932075662616987,0.8859801903593644,0.0004671825022653251,0.001002791340951128,0.00019159872985589855,12,0.42857142857142855,0.00402345456961314
llama-3.1-8b,33,0.5616390598382167,0.45153828302391985,0.9893248024112696,0.00895763569078263,0.023008451599100987,0.0001849317885156624,13,0.40625,0.053199244154072595
