model,n_layers_p1,early_PR,middle_PR,late_PR,PR_peak_layer,PR_peak_norm,PR_peak_value,inverted_U
llama-3.2-3b,29,66.66702499801922,107.84153823498309,29.917625450879047,8,0.2857142857142857,142.27653464010635,True
mistral-7b-v0.3,33,62.39786103487566,112.28736482669741,27.881275182446746,9,0.28125,158.92896322881103,True
qwen2.5-7b,29,29.094179734749204,96.94569577151799,35.29294124178929,12,0.42857142857142855,105.1542327153181,True
llama-3.1-8b,33,86.70921934940161,99.32709804017159,26.270929065802918,9,0.28125,159.02384551952545,True
