model,layer,layer_norm,sil_k6,sil_k12,sil_k20,sil_k50,k_star
mistral-7b-v0.3,30,0.9375,0.16424279,0.13440964,0.05544028,0.034283813,6
mistral-7b-v0.3,31,0.96875,0.15495117,0.09177183,0.05889511,0.038387496,6
mistral-7b-v0.3,32,1.0,0.19539653,0.11901478,0.052210115,0.039198015,6
qwen2.5-7b,0,0.0,0.8141067,0.87783366,0.9204039,0.9564822,50
qwen2.5-7b,1,0.03571428571428571,0.15488069,0.12003523,0.18262799,0.11795499,20
qwen2.5-7b,2,0.07142857142857142,0.1811136,0.10715985,0.10107013,0.11908369,6
qwen2.5-7b,3,0.10714285714285714,0.15180248,0.11410286,0.058701243,0.07310278,6
qwen2.5-7b,4,0.14285714285714285,0.079440676,0.08640807,0.0619001,0.040748175,12
qwen2.5-7b,5,0.17857142857142858,0.09049333,0.087953776,0.034117103,0.035466705,6
qwen2.5-7b,6,0.21428571428571427,0.0891374,0.07858422,0.050221596,0.03346939,6
qwen2.5-7b,7,0.25,0.07041455,0.07858767,0.05865985,0.017445866,12
qwen2.5-7b,8,0.2857142857142857,0.033737242,0.01767828,0.012715622,0.0027979636,6
qwen2.5-7b,9,0.32142857142857145,0.024458984,0.025398709,0.0071243984,0.0070142164,12
qwen2.5-7b,10,0.35714285714285715,0.017690638,0.017527452,0.011985553,-0.008208005,6
qwen2.5-7b,11,0.39285714285714285,0.0064557996,0.0100551415,-0.0036815966,-0.007844394,12
qwen2.5-7b,12,0.42857142857142855,0.0020698777,0.0021539547,0.002028777,-0.009767338,12
qwen2.5-7b,13,0.4642857142857143,0.013461964,-0.014619556,-0.013494256,-0.011565735,6
qwen2.5-7b,14,0.5,0.0041853464,0.0044567036,-0.012707241,-0.00791123,12
qwen2.5-7b,15,0.5357142857142857,0.01921345,0.0001277054,0.0024377955,-0.008431599,6
qwen2.5-7b,16,0.5714285714285714,0.010712662,0.0031866971,0.0036191314,-0.0035217823,6
qwen2.5-7b,17,0.6071428571428571,0.0015112007,0.004009653,-0.0025195326,-0.0028536238,12
qwen2.5-7b,18,0.6428571428571429,0.02471449,0.0005140424,0.007995394,-0.008427637,6
qwen2.5-7b,19,0.6785714285714286,0.019495517,0.011510156,-0.003965398,-0.0055484045,6
qwen2.5-7b,20,0.7142857142857143,0.06731691,0.033365935,0.031836852,0.011087384,6
qwen2.5-7b,21,0.75,0.07720026,0.07133537,0.03309397,0.011365086,6
qwen2.5-7b,22,0.7857142857142857,0.111117005,0.076219745,0.0342333,0.010957411,6
qwen2.5-7b,23,0.8214285714285714,0.1480528,0.09957363,0.024112308,0.02247918,6
qwen2.5-7b,24,0.8571428571428571,0.16899063,0.08300182,0.023280222,0.024537306,6
qwen2.5-7b,25,0.8928571428571429,0.16104372,0.08914595,0.049670335,0.02685706,6
qwen2.5-7b,26,0.9285714285714286,0.20084918,0.09955405,0.055775985,0.03314586,6
qwen2.5-7b,27,0.9642857142857143,0.23101819,0.1353619,0.054099504,0.04282766,6
qwen2.5-7b,28,1.0,0.1622038,0.043930653,0.09747128,0.036682017,6
llama-3.1-8b,0,0.0,0.7396554,0.8254491,0.9083569,0.9518372,50
llama-3.1-8b,1,0.03125,0.31146017,0.20647085,0.21578482,0.19044283,6
llama-3.1-8b,2,0.0625,0.14612836,0.11089622,0.1043163,0.10340473,6
llama-3.1-8b,3,0.09375,0.088861965,0.0711001,0.06507736,0.063454054,6
llama-3.1-8b,4,0.125,0.04883157,0.070066705,0.027810875,0.028140264,12
llama-3.1-8b,5,0.15625,0.038165238,0.02651249,0.024042003,0.011424981,6
llama-3.1-8b,6,0.1875,0.031936277,0.016506733,0.02373476,0.010887585,6
llama-3.1-8b,7,0.21875,0.017302753,0.009096006,0.0069977944,0.007824135,6
llama-3.1-8b,8,0.25,0.0056614596,0.0035146596,0.004638293,0.0021938388,6
llama-3.1-8b,9,0.28125,0.0008611704,0.01023703,0.0055667623,0.003827771,12
llama-3.1-8b,10,0.3125,0.016410941,0.0103235645,0.007825856,-0.0033836097,6
llama-3.1-8b,11,0.34375,0.01702101,0.008387963,0.0068980264,0.003986454,6
llama-3.1-8b,12,0.375,0.010925577,0.008000821,0.005590941,-0.001165351,6
llama-3.1-8b,13,0.40625,0.0104895625,0.008171084,0.0065251905,-0.0019494295,6
llama-3.1-8b,14,0.4375,0.010272512,0.0057391366,0.0072076726,0.0010163105,6
llama-3.1-8b,15,0.46875,0.014575012,0.013504404,0.013369297,0.007678199,6
llama-3.1-8b,16,0.5,0.017190097,0.013904705,0.009743523,0.008437372,6
llama-3.1-8b,17,0.53125,0.019999584,0.01577517,0.012754841,0.0061440757,6
llama-3.1-8b,18,0.5625,0.02475251,0.020391129,0.013456995,0.00837436,6
llama-3.1-8b,19,0.59375,0.04257946,0.038032044,0.022027234,0.015478229,6
llama-3.1-8b,20,0.625,0.060044628,0.046878766,0.022174764,0.016193325,6
llama-3.1-8b,21,0.65625,0.10172728,0.077607125,0.032174572,0.023064043,6
llama-3.1-8b,22,0.6875,0.10136459,0.084582716,0.046531424,0.019908626,6
llama-3.1-8b,23,0.71875,0.10977334,0.059268475,0.057089895,0.037564773,6
llama-3.1-8b,24,0.75,0.104692094,0.0741569,0.029286867,0.028355056,6
llama-3.1-8b,25,0.78125,0.17250033,0.05909105,0.042032365,0.029040894,6
llama-3.1-8b,26,0.8125,0.17211933,0.06565179,0.040767197,0.029628575,6
llama-3.1-8b,27,0.84375,0.2251163,0.08202453,0.037219185,0.043138996,6
llama-3.1-8b,28,0.875,0.23202594,0.101301454,0.043646418,0.036656167,6
llama-3.1-8b,29,0.90625,0.22883737,0.09663038,0.05337406,0.029895063,6
llama-3.1-8b,30,0.9375,0.23066632,0.14057824,0.07745615,0.04586004,6
llama-3.1-8b,31,0.96875,0.2755469,0.1144874,0.053435996,0.03757318,6
llama-3.1-8b,32,1.0,0.19804128,0.13856909,0.09709326,0.045603216,6
